3760,interuro,sentence
4806,intimba,"deep sorrow"
3779,intoboro,"hole in object"
3787,intonga,"large basket"
3794,intorezo,axe
4359,intsinzi,victory
5138,intumbero,vision
3820,intumbi,corpse
3823,intumwa,Apostle
3841,inturo,"dwelling place"
3842,inturo,"wild cat"
3844,intusi,"eucalyptus tree"
3857,intwari,hero
3859,intwaro,weapon
5692,intwererano,contribution
3040,inuma,dove
3053,inyajwi,vowel
3058,inyama,meat
3065,inyamaswa,"wild animal"
3080,inyandiko,article
3083,inyange,"cattle egret"
3084,inyangingo,phrase
3085,inyanja,sea
4985,inyemera,"Topi antelope"
3095,inyenyeri,star
3096,inyenzi,cockroach
5309,inyeshyamba,rebel
3101,inyigisho,teaching
5171,inyinya,diastema
3124,inyongera,accessory
3125,inyoni,bird
3127,inyota,thirst
3128,inyubako,building
3131,inyumba,"large house"
3132,inyumbati,cassava
3133,inyundo,hammer
3134,inyungu,profit
1887,inzaduka,"new thing"
3962,inzagihe,"future tense"
1950,inzara,hunger
2273,inzerirezi,wanderer
2650,inzika,bitterness
3981,inzimuzi,gossip
2663,inzira,path
5727,inzobere,expert
3144,inzoga,beer
3145,inzogera,bell
3147,inzoka,snake
3992,inzovu,elephant
3162,inzozi,dream
5384,inzungu,inheritance
3168,ipaje,page
3171,ipamba,cotton
3180,ipantaro,trousers
3181,ipantufure,slipper
3182,ipanu,"frying pan"
3184,ipapayi,"papaya fruit"
3190,ipasi,"iron for clothes"
3194,ipata,hinge
3195,ipatante,licence
5601,ipera,"guava (fruit)"
3217,ipfundo,knot
4535,ipfunwe,shame
3221,ipiki,pickaxe
3222,ipikipiki,motorcycle
3232,ipiripiri,"chilli pepper"
5267,ipompo,pump
5188,iposita,"post office"
3280,irangi,paint
3285,irari,lust
3300,irembo,gate
4668,ireme,weight
3319,iriba,"well (water)"
3320,iribori,"stretch mark"
4756,iriburiro,foreword
2560,irihimbano,alias
3365,iroza,rose
4749,irugu,nape
4801,irungu,loneliness
2662,iryinyo,tooth
3394,isabato,Sabbath
3397,isabukuru,birthday
3398,isabune,soap
3400,isafuriya,saucepan
3402,isaha,hour
3404,isahani,dish
3405,isaho,bag
4595,isakaramentu,sacrament
3407,isake,rooster
3414,isambaza,"very small fish"
3417,isambo,"building plot"
3419,isambu,field
4635,isandi,"weaver (bird)"
3421,isandugu,box
3422,isanduku,box
5657,isangano,crossroads
3425,isano,resemblance
3432,isaro,bead
5381,isarura,"harvest time"
3433,isasa,"floor tile"
